F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,Class
31,36,3,4,0,False,222,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
6,23,2,0,1,True,207,False,False,0,False,False,False,False,0,13,False,3,False,False,NomAnaph
1,39,3,0,2,False,14,False,False,2,False,False,False,True,0,5,False,3,False,False,NomAnaph
1,49,3,0,4,False,8,False,False,2,False,False,False,True,0,34,False,4,False,False,NomAnaph
1,49,3,0,4,False,8,False,False,2,False,False,False,True,0,34,False,4,False,False,NomAnaph
5,16,1,1,2,False,195,False,False,0,False,False,False,False,0,7,False,3,False,False,NomAnaph
9,12,2,1,0,False,127,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
22,52,3,4,4,False,190,False,False,2,False,False,False,True,0,3,False,2,False,False,NomAnaph
18,37,3,2,1,False,256,False,False,0,False,False,False,False,0,5,False,2,False,False,NomAnaph
1,19,2,0,1,False,8,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
10,78,5,1,9,False,261,False,False,0,False,False,False,False,0,16,False,3,False,False,NomAnaph
10,78,5,1,9,False,261,False,False,0,False,False,False,False,0,16,False,3,False,False,NomAnaph
10,78,5,1,9,False,261,False,False,0,False,False,False,False,0,16,False,3,False,False,NomAnaph
10,78,5,1,9,False,261,False,False,0,False,False,False,False,0,16,False,3,False,False,NomAnaph
16,26,3,3,1,False,114,False,False,0,False,False,False,False,0,4,False,3,False,False,NomAnaph
17,20,1,2,0,False,253,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
25,40,4,3,2,False,94,False,False,1,False,False,False,True,0,1,False,2,False,False,NomAnaph
5,29,2,1,2,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
5,29,2,1,2,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
5,34,4,1,3,False,197,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
5,34,4,1,3,False,197,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
15,16,1,1,0,False,55,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
4,13,3,1,0,False,44,False,False,0,False,False,False,False,0,0,False,1,False,False,NomAnaph
9,10,1,1,0,False,68,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
10,33,2,1,2,False,196,False,False,1,False,False,False,True,0,5,False,3,False,False,NomAnaph
20,23,2,2,0,False,119,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
18,36,4,2,1,False,218,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
13,19,2,2,0,False,100,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
7,10,1,1,0,False,47,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,14,1,0,1,False,13,False,False,0,False,False,False,False,0,7,False,3,False,False,NomAnaph
27,38,3,2,1,False,233,False,False,1,False,False,False,True,0,5,False,3,False,False,NomAnaph
5,8,1,1,0,False,188,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
1,26,3,0,3,False,11,False,False,0,False,False,False,False,0,21,False,3,False,False,NomAnaph
7,47,5,0,6,False,246,False,False,0,False,False,False,False,0,5,False,4,False,False,NomAnaph
7,47,5,0,6,False,246,False,False,0,False,False,False,False,0,5,False,4,False,False,NomAnaph
5,6,1,1,0,False,169,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
5,12,1,1,1,False,185,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
7,20,1,1,1,False,191,False,False,0,False,False,False,False,0,5,False,2,False,False,NomAnaph
39,57,5,4,2,False,154,False,False,0,False,False,False,False,0,4,False,2,False,False,NomAnaph
11,50,3,1,5,False,149,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
11,50,3,1,5,False,149,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
11,50,3,1,5,False,149,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
20,23,2,2,0,False,209,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
10,37,5,1,3,False,208,False,False,0,False,False,False,False,0,1,False,3,False,False,NomAnaph
11,18,1,2,0,False,181,False,False,1,False,False,False,False,0,1,False,2,False,False,NomAnaph
11,22,2,1,1,False,186,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
47,59,5,6,2,False,131,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
17,23,2,3,1,False,133,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
3,13,2,0,1,False,34,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
8,11,2,1,0,False,241,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
7,92,4,1,12,False,85,False,False,0,False,False,False,False,0,11,False,2,False,False,NomAnaph
7,92,4,1,12,False,85,False,False,0,False,False,False,False,0,11,False,2,False,False,NomAnaph
7,92,4,1,12,False,85,False,False,0,False,False,False,False,0,11,False,2,False,False,NomAnaph
7,92,4,1,12,False,85,False,False,0,False,False,False,False,0,11,False,2,False,False,NomAnaph
7,25,2,1,2,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
7,25,2,1,2,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
18,23,2,3,1,False,215,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
7,12,3,0,0,False,236,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,10,1,0,0,False,7,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
14,40,3,1,2,False,240,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
14,40,3,1,2,False,240,False,False,0,False,False,False,False,0,0,False,4,False,False,NomAnaph
9,14,1,1,1,False,96,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
17,40,4,1,3,False,101,False,False,1,False,False,False,True,0,3,False,2,False,False,NomAnaph
18,23,2,2,0,False,71,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,17,2,0,2,False,8,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,27,2,0,4,False,11,False,False,0,False,False,False,False,0,20,False,3,False,False,NomAnaph
1,27,2,0,4,False,11,False,False,0,False,False,False,False,0,20,False,3,False,False,NomAnaph
1,10,1,0,0,False,11,False,False,1,False,False,False,False,0,0,False,3,False,False,NomAnaph
24,31,2,3,1,False,121,False,False,0,False,False,False,False,0,3,False,2,False,False,NomAnaph
1,12,1,0,1,False,7,False,False,1,False,False,False,True,0,0,False,3,False,False,NomAnaph
26,34,3,2,0,False,251,False,False,1,False,False,False,False,0,4,False,5,False,False,NomAnaph
13,14,1,2,0,False,129,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
4,13,3,0,1,False,43,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
7,10,1,1,0,False,170,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
10,15,2,1,0,False,249,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
3,8,1,0,1,False,25,False,False,0,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
9,14,1,2,0,False,191,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
35,40,3,4,1,False,152,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
7,16,1,1,1,False,79,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
12,18,1,1,0,False,259,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
15,16,1,2,0,False,89,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
11,33,2,1,3,False,91,False,False,1,False,False,False,True,0,18,False,2,False,False,NomAnaph
11,33,2,1,3,False,91,False,False,1,False,False,False,True,0,18,False,2,False,False,NomAnaph
28,52,3,2,3,False,120,False,False,1,False,False,False,True,0,18,False,2,False,False,NomAnaph
34,35,2,4,0,False,250,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
22,29,2,2,1,False,227,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
1,8,1,0,1,False,14,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,16,1,0,0,False,5,False,False,3,False,False,False,False,0,5,False,3,False,False,NomAnaph
5,17,3,1,1,False,183,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
10,15,2,1,1,False,80,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
1,21,2,0,4,False,19,False,False,0,False,False,False,False,0,16,False,3,False,False,NomAnaph
1,21,2,0,4,False,19,False,False,0,False,False,False,False,0,16,False,3,False,False,NomAnaph
17,21,2,3,0,False,60,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
8,15,2,1,1,False,214,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
1,49,2,0,7,False,7,False,False,1,False,False,False,True,0,36,False,3,False,False,NomAnaph
1,24,3,0,2,False,4,False,False,2,False,False,False,True,0,4,False,3,False,False,ClauseAnaph
5,8,1,0,0,False,228,False,False,0,False,False,False,False,0,0,False,1,False,False,NomAnaph
40,71,3,5,4,False,117,False,False,1,False,False,False,True,0,1,False,2,False,False,NomAnaph
40,71,3,5,4,False,117,False,False,1,False,False,False,True,0,1,False,2,False,False,NomAnaph
15,30,1,2,1,False,52,False,False,0,False,False,False,False,0,9,False,4,False,False,NomAnaph
28,33,2,4,1,False,97,False,False,0,False,False,False,False,0,1,False,2,False,False,ClauseAnaph
5,12,1,1,1,False,202,False,False,1,False,False,False,True,0,1,False,2,False,False,NomAnaph
28,35,2,2,1,False,57,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
18,29,2,3,0,False,226,False,False,1,False,False,False,False,0,0,False,2,False,False,NomAnaph
64,71,6,8,1,False,190,False,False,0,False,False,False,False,0,3,False,2,False,False,ClauseAnaph
11,14,1,2,0,False,253,False,False,0,False,False,False,False,0,0,False,5,False,False,NomAnaph
11,51,4,1,6,False,183,False,False,2,False,False,False,True,0,1,False,2,False,False,NomAnaph
11,51,4,1,6,False,183,False,False,2,False,False,False,True,0,1,False,2,False,False,NomAnaph
26,36,3,3,2,False,67,False,False,0,False,False,False,False,0,0,False,3,False,False,ClauseAnaph
63,68,5,9,1,False,142,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
19,26,3,1,1,False,97,False,False,0,False,False,False,False,0,1,False,2,False,False,NomAnaph
8,9,1,1,0,False,89,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
11,12,1,1,0,False,172,False,False,0,False,False,False,False,0,0,False,2,False,False,ClauseAnaph
12,29,3,1,2,False,77,False,False,0,False,False,False,False,0,13,False,2,False,False,ClauseAnaph
12,29,3,1,2,False,77,False,False,0,False,False,False,False,0,13,False,2,False,False,NomAnaph
16,28,3,3,1,False,201,False,False,0,False,False,False,False,0,10,False,2,False,False,NomAnaph
5,18,3,1,1,False,174,False,False,0,False,False,False,False,0,4,False,2,False,False,NomAnaph
3,11,1,0,0,False,27,False,False,0,False,False,False,False,0,0,False,3,False,False,NomAnaph
7,8,1,1,0,False,172,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
14,25,2,1,1,False,248,False,False,1,False,False,False,True,0,0,False,3,False,False,NomAnaph
23,24,1,2,0,False,89,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
1,36,1,0,4,False,5,False,False,1,False,False,False,False,0,5,False,3,False,False,NomAnaph
1,36,1,0,4,False,5,False,False,1,False,False,False,False,0,5,False,3,False,False,NomAnaph
20,30,3,2,1,False,147,False,False,0,False,False,False,False,0,0,False,2,False,False,NomAnaph
